,road_number,origin_address,destination_address,distance,watercrossing,origin_lat,origin_long,destination_lat,destination_long,origin_lat_rad,origin_long_rad,destination_lat_rad,destination_long_rad
435,E47,"København, Denmark","Køge, Denmark",45,False,55.6867243,12.5700724,55.4565009,12.1818964,0.9719166886853345,0.21938915059406566,0.9678985323401987,0.21261420131684414
436,E47,"Køge, Denmark","Vordingborg, Denmark",60,False,55.4565009,12.1818964,55.0102518,11.9097478,0.9678985323401987,0.21261420131684414,0.9601100162611372,0.20786431219215112
437,E47,"Vordingborg, Denmark","Farø, Denmark",11,False,55.0102518,11.9097478,54.95007595,11.990187202288263,0.9601100162611372,0.20786431219215112,0.959059749548451,0.20926824461041754
438,E47,"Farø, Denmark","Rødby, Denmark",53,False,54.95007595,11.990187202288263,54.6940639,11.3902205,0.959059749548451,0.20926824461041754,0.9545914963511707,0.19879685025315477
439,E47,"Rødby, Denmark","Lübeck, Germany",117,True,54.6940639,11.3902205,53.866444,10.684738,0.9545914963511707,0.19879685025315477,0.9401468041411445,0.18648385781295387
440,E47,"Helsingborg, Sweden","Helsingør, Denmark",9,True,56.0441984,12.7040684,56.0348739,12.6130073,0.978155788720938,0.22172782197856802,0.9779930454948358,0.22013850596308018
441,E48,"Karlovy Vary, Czechia","Praha, Czechia",126,False,50.2304694,12.8710769,50.0596288,14.446459273258009,0.8766870758522605,0.22464267018238493,0.873705344886178,0.25213827957361945
442,E48,"Cheb, Czechia","Karlovy Vary, Czechia",43,False,50.0793511,12.3703526,50.2304694,12.8710769,0.874049563957244,0.2159033825026411,0.8766870758522605,0.22464267018238493
443,E48,"Schweinfurt, Germany","Bayreuth, Germany",121,False,50.0499945,10.233302,49.9427202,11.5763079,0.8735371946300531,0.17860481325092079,0.8716649048922809,0.20204468807963047
444,E48,"Marktredwitz, Germany","Cheb, Czechia",26,False,50.0009915,12.0856433,50.0793511,12.3703526,0.8726819309366983,0.21093426780659277,0.874049563957244,0.2159033825026411
445,E48,"Bayreuth, Germany","Marktredwitz, Germany",49,False,49.9427202,11.5763079,50.0009915,12.0856433,0.8716649048922809,0.20204468807963047,0.8726819309366983,0.21093426780659277
446,E49,"Plauen, Germany","Schönberg, Germany",44,False,50.4950632,12.1346523,50.5443674,7.9348028,0.8813051088426239,0.21178963621970273,0.8821656294676857,0.1384884343564651
447,E49,"Halle, Germany","Plauen, Germany",161,False,51.4825041,11.9705452,50.4950632,12.1346523,0.89853920371648,0.20892542699880312,0.8813051088426239,0.21178963621970273
448,E49,"Karlovy Vary, Czechia","Plzeň, Czechia",73,False,50.2304694,12.8710769,49.7477415,13.3775249,0.8766870758522605,0.22464267018238493,0.8682618846060226,0.23348185527252519
449,E49,"Magdeburg, Germany","Halle, Germany",86,False,52.1315889,11.6399609,51.4825041,11.9705452,0.909867870601129,0.20315564250840243,0.89853920371648,0.20892542699880312
450,E49,"Schönberg, Germany","Vojtanov, Czechia",3,False,50.5443674,7.9348028,50.1683441,12.3173625,0.8821656294676857,0.1384884343564651,0.8756027848184713,0.21497853078668006
451,E49,"Plzeň, Czechia","České Budějovice, Czechia",137,False,49.7477415,13.3775249,48.9747357,14.474285,0.8682618846060226,0.23348185527252519,0.8547703882590098,0.25262393012202744
452,E49,"Halámky, Czechia","Wien, Austria",151,False,48.8531369,14.9151247,48.2083537,16.3725042,0.8526480888325358,0.26031803436053147,0.8413944990309907,0.2857541050866002
453,E49,"Třeboň, Czechia","Halámky, Czechia",25,False,49.0037313,14.7705054,48.8531369,14.9151247,0.8552764569476011,0.25779395141360206,0.8526480888325358,0.26031803436053147
