,u,v
1846,624,427
1847,625,624
1848,625,626
1849,626,625
1850,627,428
1851,627,510
1852,628,824
1853,628,614
1854,628,630
1855,628,7
1856,629,864
1857,629,630
1858,630,628
1859,630,629
1860,630,615
1861,631,632
1862,631,648
1863,631,527
1864,632,633
1865,632,631
1866,633,632
1867,633,648
1868,633,589
1869,634,594
1870,634,635
1871,635,672
1872,635,634
1873,635,700
1874,635,671
1875,636,649
1876,636,637
1877,637,644
1878,637,636
1879,638,645
1880,638,639
1881,639,683
1882,639,638
1883,640,505
1884,640,754
1885,641,642
1886,641,643
1887,642,641
1888,642,649
1889,643,505
1890,643,641
1891,643,211
1892,643,753
1893,644,637
1894,644,654
1895,645,596
1896,645,638
1897,646,596
1898,646,647
1899,647,648
1900,647,674
1901,647,646
1902,647,823
1903,648,633
1904,648,631
1905,648,525
1906,648,647
1907,649,642
1908,649,636
1909,650,433
1910,650,651
1911,651,650
1912,651,652
1913,651,791
1914,652,651
1915,652,653
1916,652,430
1917,653,792
1918,653,652
1919,653,654
1920,654,786
1921,654,644
1922,654,653
1923,655,656
1924,655,454
1925,656,655
1926,657,673
1927,657,666
1928,658,659
1929,658,670
1930,659,658
1931,659,660
1932,660,659
1933,660,661
1934,661,660
1935,661,662
1936,662,719
1937,662,661
1938,662,663
1939,663,664
1940,663,662
1941,664,665
1942,664,663
1943,665,664
1944,665,671
1945,666,657
1946,666,669
1947,667,668
1948,668,417
1949,668,667
1950,668,519
1951,669,666
1952,669,598
1953,670,658
1954,670,866
1955,671,665
1956,671,635
1957,671,701
1958,672,635
1959,672,598
1960,673,657
1961,673,674
1962,674,647
1963,674,673
1964,674,519
1965,675,696
1966,675,708
1967,675,676
1968,675,678
1969,676,675
1970,676,677
1971,677,676
1972,677,604
1973,678,600
1974,678,675
1975,679,308
1976,679,693
1977,679,702
1978,680,681
1979,680,684
1980,681,680
1981,681,843
1982,681,310
1983,682,685
1984,682,703
1985,683,563
1986,683,700
1987,683,639
1988,684,680
1989,684,892
1990,684,686
1991,685,704
1992,685,682
1993,685,734
1994,686,96
1995,686,858
1996,686,684
1997,687,96
1998,687,688
1999,688,32
2000,688,687
2001,688,829
2002,688,63
2003,689,32
2004,689,690
2005,690,689
2006,690,691
2007,691,690
2008,691,827
2009,691,4
2010,691,826
2011,692,8
2012,692,4
2013,693,698
2014,693,837
2015,693,679
2016,694,705
2017,694,867
2018,695,696
2019,695,703
2020,696,675
2021,696,695
2022,697,836
2023,697,709
2024,697,702
2025,698,693
2026,698,310
2027,699,384
2028,699,838
2029,699,455
2030,699,714
2031,699,844
2032,700,635
2033,700,683
2034,701,706
2035,701,671
2036,702,697
2037,702,835
2038,702,679
2039,703,682
2040,703,711
2041,703,695
2042,704,705
2043,704,685
2044,705,704
2045,705,694
2046,706,707
2047,706,701
2048,707,706
2049,707,708
2050,708,720
2051,708,707
2052,708,675
2053,709,697
2054,709,385
2055,709,386
2056,710,713
2057,710,868
2058,711,712
2059,711,703
2060,712,728
2061,712,713
2062,712,711
2063,713,712
2064,713,710
2065,714,699
2066,714,869
2067,715,739
2068,715,135
2069,715,716
2070,715,112
2071,715,209
2072,716,715
2073,716,717
2074,717,211
2075,717,716
2076,717,269
2077,718,788
2078,718,516
2079,718,269
2080,719,720
2081,719,662
2082,720,708
2083,720,719
2084,721,722
2085,721,725
2086,722,721
2087,722,723
2088,723,722
2089,723,724
2090,724,723
2091,724,726
2092,725,721
2093,725,209
2094,725,741
2095,725,263
2096,726,522
2097,726,724
2098,726,727
2099,727,606
2100,727,726
2101,728,712
2102,728,730
2103,729,730
2104,729,868
2105,730,728
2106,730,729
2107,731,732
2108,732,731
2109,732,733
2110,733,732
2111,733,734
2112,734,733
2113,734,685
2114,735,737
2115,735,263
2116,736,209
2117,736,269
2118,736,263
2119,737,871
2120,737,735
2121,738,739
2122,738,740
2123,739,738
2124,739,715
2125,740,738
2126,740,52
2127,741,725
2128,741,742
2129,742,741
2130,742,743
2131,743,862
2132,743,742
2133,744,745
2134,745,744
2135,745,872
2136,746,257
2137,746,873
